Title,Mapped by,Level,Status,Scores,Total Scores,Star Difficulty,Note Count,BPM,PP,Key,Bombs,Walls,Note jump speed,Notes per second,Lights,ID
a-ha - Take On Me by jackscape,jackscape,Expert,Ranked,"143,206","143,206",1.55,505,168,71.36,!bsr 9,0,52,10,3.774,1,2AA1F5192828E075C30DD015B1E132BBA912EB86
Imagine Dragons - Believer by Rustic,Rustic,Expert,Ranked,"218,146","218,146",1.44,546,125,66.81,!bsr b,0,10,10,2.754,551,19F2879D11A91B51A5C090D63471C3E8D9B7AEE3
succducc - me & u by Kami,Kami,Hard,Ranked,"18,068","18,068",2.81,337,160,130.20,!bsr 1,28,11,10,2.422,81,FDA568FC27C20D21F8DC6F3709B49B5CC96723BE
Pegboard Nerds - New Style by VirtualTurtle ,VirtualTurtle ,Expert,Ranked,"18,341","18,341",1.8,673,132,83.02,!bsr 24,0,0,10,2.932,178,067FFA3CF6C35FA8E33CB6720C85ED8A4369AD6A
Pegboard Nerds - New Style by VirtualTurtle ,VirtualTurtle ,Expert,Ranked,"18,341","18,341",1.8,673,132,83.02,!bsr 24,0,0,10,2.932,178,067FFA3CF6C35FA8E33CB6720C85ED8A4369AD6A
TheFatRat - Xenogenesis by mmmdoggy,mmmdoggy,Expert,Ranked,"15,280","15,280",1.45,227,145,67.22,!bsr 39,0,1,10,2.872,0,DF7E75AB20B9A27960C9F95E9F2B5AD0927C46DC
TheFatRat - Xenogenesis by mmmdoggy,mmmdoggy,Expert,Ranked,"15,280","15,280",1.45,227,145,67.22,!bsr 39,0,1,10,2.872,0,DF7E75AB20B9A27960C9F95E9F2B5AD0927C46DC
Netsky feat. darrison - Escape by Rustic,Rustic,Hard,Ranked,"3,459","8,040",1.81,571,174,83.65,!bsr 2f,0,45,10,2.76,700,2500A6CD5D1ABFE0AE44237BEEC2DE4BD7DAEDBA
Netsky feat. darrison - Escape by Rustic,Rustic,Hard,Ranked,"3,459","8,040",1.81,571,174,83.65,!bsr 2f,0,45,10,2.76,700,2500A6CD5D1ABFE0AE44237BEEC2DE4BD7DAEDBA
 - A Stranger I Remain by Jamie Christopherson & Logan Madler,Jamie Christopherson & Logan Madler,Expert,Ranked,"9,572","14,156",2.02,435,165,93.51,!bsr 2b,2,17,10,3.323,771,E9530E656D468D80BA6B5F2EF3962588236ECCC8
 - A Stranger I Remain by Jamie Christopherson & Logan Madler,Jamie Christopherson & Logan Madler,Hard,Ranked,"4,584","14,156",1.6,361,165,74.29,!bsr 2b,2,8,10,2.758,771,E9530E656D468D80BA6B5F2EF3962588236ECCC8
 - A Stranger I Remain by Jamie Christopherson & Logan Madler,Jamie Christopherson & Logan Madler,Expert,Ranked,"9,572","14,156",2.02,435,165,93.51,!bsr 2b,2,17,10,3.323,771,E9530E656D468D80BA6B5F2EF3962588236ECCC8
 - A Stranger I Remain by Jamie Christopherson & Logan Madler,Jamie Christopherson & Logan Madler,Hard,Ranked,"4,584","14,156",1.6,361,165,74.29,!bsr 2b,2,8,10,2.758,771,E9530E656D468D80BA6B5F2EF3962588236ECCC8
